iter	Logloss
119	0.4040298017
120	0.4037587173
121	0.4035873451
122	0.4033783286
123	0.4032090919
124	0.403075226
125	0.4026187375
126	0.4022712095
127	0.401912823
128	0.4015662004
129	0.4014304277
130	0.4011887428
131	0.4010277254
132	0.400804088
133	0.4005586909
134	0.4003212654
135	0.4000525291
136	0.3998352566
137	0.3996932699
138	0.3993352916
139	0.3990740376
140	0.3987830463
141	0.3981541563
142	0.3978836841
143	0.3977471976
144	0.3971719212
145	0.3970715967
146	0.3968136714
147	0.3966679325
148	0.3965118264
149	0.3962763889
150	0.3961117119
151	0.3959443455
152	0.3956434404
153	0.39557667
154	0.3954807683
155	0.3953546448
156	0.3951726513
157	0.3950283682
158	0.394823769
159	0.3947328351
160	0.3945624108
161	0.3940774451
162	0.393830295
163	0.3933412353
164	0.3931219959
165	0.3929914271
166	0.3928901839
167	0.392746294
168	0.39255463
169	0.3922948679
170	0.3922630126
171	0.3920771301
172	0.3919992965
173	0.3918044399
174	0.3916418664
175	0.3915383068
176	0.3914121485
177	0.3913294948
178	0.3909915695
179	0.3909135653
180	0.3907847069
181	0.3906957204
182	0.3902186507
183	0.3899554529
184	0.389823772
185	0.389573088
186	0.389170587
187	0.3881811587
188	0.3879657459
189	0.3877808812
190	0.387604777
191	0.3874900971
192	0.3874122139
193	0.3872138358
194	0.3870280859
195	0.3869142703
196	0.3867469446
197	0.3865216584
198	0.386391624
199	0.3861591887
200	0.3859769644
201	0.3857487464
202	0.3855175304
203	0.3852629304
204	0.3849949151
205	0.3848673396
206	0.3845886969
207	0.3844677747
208	0.3843493039
209	0.3842407143
210	0.3839903377
211	0.3837880277
212	0.3836241353
213	0.3835083352
214	0.3834106656
215	0.3833008628
216	0.3832039421
217	0.3831032288
218	0.3829952026
219	0.3829196073
220	0.3825339805
221	0.3823448351
222	0.3822583637
223	0.3820760475
224	0.3819155901
225	0.3818696712
226	0.3817976198
227	0.3816023232
228	0.3813760463
229	0.3812341641
230	0.3811524731
231	0.3810090682
232	0.3808620806
233	0.3806840233
234	0.3802927483
235	0.3801583796
236	0.3798942828
237	0.3797565924
238	0.3796682587
239	0.3795683297
240	0.3794041584
241	0.3792269518
242	0.3791714246
243	0.3789162141
244	0.3786777732
245	0.3784442706
246	0.3783034332
247	0.3782073213
248	0.3780802949
249	0.3779842453
250	0.3775519298
251	0.3773071467
252	0.3771522993
253	0.3764824225
254	0.3763251343
255	0.3762818174
256	0.3760749888
257	0.3759209133
258	0.3757664113
259	0.3756299345
260	0.3754909319
261	0.3752286046
262	0.3751107221
263	0.3749915955
264	0.3747658111
265	0.3746513554
266	0.3745084708
267	0.3743632044
268	0.3742506085
269	0.3741163072
270	0.373947571
271	0.3737453987
272	0.3735695304
273	0.3733748202
274	0.3731707806
275	0.3729789617
276	0.3728578504
277	0.3726458836
278	0.3724974398
279	0.3723019016
280	0.3721504201
281	0.3720530517
282	0.3719174561
283	0.3717450083
284	0.3716105014
285	0.3715205758
286	0.3713412013
287	0.3712212681
288	0.3710686757
289	0.3709051688
290	0.3707227417
291	0.3706282817
292	0.3705533515
293	0.3704467211
294	0.3696928663
295	0.3695704966
296	0.3694627107
297	0.36928204
298	0.3689314557
299	0.3686535673
300	0.3685392723
301	0.3683732872
302	0.3682935688
303	0.3680737504
304	0.3679459961
305	0.367839431
306	0.3677119471
307	0.367567078
308	0.3674906217
309	0.3673443915
310	0.3671969237
311	0.3670492255
312	0.3669647688
313	0.366834546
314	0.3665704928
315	0.3664442098
316	0.3663406732
317	0.3661261569
318	0.3658846468
319	0.3658537086
320	0.3657542752
321	0.3655812091
322	0.365465745
323	0.3652636822
324	0.3647905502
325	0.3646368307
326	0.3643406538
327	0.3642309209
328	0.3641371018
329	0.3638957199
330	0.3638067554
331	0.3636708854
332	0.3635423248
333	0.363476271
334	0.3633860596
335	0.3632944369
336	0.3632183666
337	0.3629694256
338	0.3628511501
339	0.3627023353
340	0.3626073055
341	0.3625448165
342	0.3624046214
343	0.3623180855
344	0.3622055379
345	0.3620848548
346	0.3617085789
347	0.3615218482
348	0.3613798242
349	0.3611911106
350	0.361052657
351	0.3609907029
352	0.3608142038
353	0.3605764942
354	0.3604336101
355	0.3602977029
356	0.3601879839
357	0.3600790784
358	0.3599942075
359	0.3598427936
360	0.3597490979
361	0.3596453864
362	0.3595371613
363	0.3594409605
364	0.3592623525
365	0.3591388872
366	0.3589307108
367	0.3588077843
368	0.3587070053
369	0.3585732512
370	0.358486066
371	0.3583878744
372	0.3582884875
373	0.3581759552
374	0.3580481718
375	0.3578375492
376	0.3577412454
377	0.3576463058
378	0.3575739771
379	0.3573741603
380	0.357204457
381	0.3570745032
382	0.3569321683
383	0.3567706235
384	0.3566798647
385	0.3565270115
386	0.3563938108
387	0.3562478466
388	0.3561575445
389	0.3560535761
390	0.3559393556
391	0.3558181184
392	0.355729582
393	0.3556898622
394	0.3556048368
395	0.355549435
396	0.3554513667
397	0.3553570015
398	0.3552737932
399	0.3551289193
400	0.3550027916
401	0.3549389595
402	0.3548585324
403	0.3548281381
404	0.3547151478
405	0.3546038917
406	0.3541318938
407	0.3539375225
408	0.3535027054
409	0.353367983
410	0.3532503855
411	0.3531203991
412	0.3530230077
413	0.35289452
414	0.352822813
415	0.3527327673
416	0.3526480555
417	0.3525365604
418	0.3524589059
419	0.352081836
420	0.3520240168
421	0.3519546528
422	0.3518685967
423	0.3517815135
424	0.3512961539
425	0.3511703441
426	0.3510775368
427	0.3509033272
428	0.3507931882
429	0.3507011591
430	0.3505804803
431	0.3500902521
432	0.3499531187
433	0.349845858
434	0.3497191563
435	0.3496075931
436	0.3492539947
437	0.3491332766
438	0.3487289756
439	0.3485899974
440	0.3484693547
441	0.3483632346
442	0.3482009078
443	0.3481142558
444	0.3477991887
445	0.3476986658
446	0.3475910888
447	0.3472595981
448	0.3471002723
449	0.3470360224
450	0.3468934198
451	0.3467791032
452	0.346708969
453	0.3466348977
454	0.3463963689
455	0.3460852568
456	0.3459897234
457	0.3458540013
458	0.345735126
459	0.3454919566
460	0.3453695169
461	0.3453047135
462	0.3452197951
463	0.3451519383
464	0.3450398696
465	0.3449551962
466	0.3447883167
467	0.3446689359
468	0.344588802
469	0.3445407669
470	0.3444638026
471	0.3443616863
472	0.344320115
473	0.3442193118
474	0.3440741155
475	0.3439283745
476	0.3438579073
477	0.3437369973
478	0.343624592
479	0.3435318577
480	0.3434605302
481	0.3433358266
482	0.3431930709
483	0.3430908325
484	0.3430165661
485	0.342938871
486	0.3428415233
487	0.3427273092
488	0.3426898602
489	0.3425556036
490	0.3424393258
491	0.3422958107
492	0.3421899795
493	0.3420638583
494	0.3419992405
495	0.3419451501
496	0.3418612186
497	0.3417646324
498	0.3416864855
499	0.341465452
500	0.3413929868
501	0.3413371403
502	0.3412631221
503	0.3412223407
504	0.3411265311
505	0.3410976804
506	0.3410070082
507	0.3408867667
508	0.3408043446
509	0.3406451191
510	0.3402901185
511	0.3402120044
512	0.3401380964
513	0.3400142272
514	0.3398650677
515	0.3397805414
516	0.3396679137
517	0.339469259
518	0.3393849684
519	0.3392891177
520	0.3392174751
521	0.3391342961
522	0.3390873962
523	0.3390131348
524	0.3388103345
525	0.3387462748
526	0.3386831938
527	0.3385975597
528	0.3385270119
529	0.3384112254
530	0.338376197
531	0.3380246508
532	0.3378830144
533	0.3378019746
534	0.3377276591
535	0.3376877834
536	0.337554831
537	0.3374895921
538	0.3374516572
539	0.3370908502
540	0.3369470191
541	0.3368732519
542	0.3365890396
543	0.336500119
544	0.3364754952
545	0.3364036002
546	0.3363392477
547	0.3362304662
548	0.3361240368
549	0.3360482864
550	0.3359425909
551	0.3358607347
552	0.3358031774
553	0.3355339928
554	0.3354258166
555	0.3352019701
556	0.3351623919
557	0.3351194494
558	0.3350188144
559	0.3349520565
560	0.3348640068
561	0.3348335261
562	0.3347544692
563	0.3346657359
564	0.3345950458
565	0.3345270508
566	0.3343586196
567	0.3340595769
568	0.3339929628
569	0.333920917
570	0.3338726804
571	0.3337367119
572	0.3336023504
573	0.3334682619
574	0.3331864797
575	0.3328875914
576	0.3327939879
577	0.3326922101
578	0.332646986
579	0.3323978824
580	0.332336989
581	0.3322760038
582	0.3321459132
583	0.331791443
584	0.3317281587
585	0.3316450338
586	0.3315837057
587	0.3315022965
588	0.3314157146
589	0.331338545
590	0.3312852078
591	0.3312175725
592	0.331155662
593	0.330971028
594	0.3309020565
595	0.3305069999
596	0.3302674499
597	0.3301444967
598	0.3300246688
599	0.3299372647
600	0.3299125883
601	0.329846922
602	0.3298148964
603	0.3297199801
604	0.3296420453
605	0.3295259596
606	0.3294520307
607	0.3293992226
608	0.3293373013
609	0.3291583545
610	0.3290888351
611	0.329029884
612	0.3289197518
613	0.3287599852
614	0.3286937222
615	0.3284727522
616	0.3284069268
617	0.3282118508
618	0.328195494
619	0.3281447444
620	0.3279538923
621	0.3278893304
622	0.3278204804
623	0.3277588926
624	0.3276163866
625	0.3275352026
626	0.3274626958
627	0.3274380781
628	0.3273332406
629	0.3272713199
630	0.3271809601
631	0.3270455538
632	0.326991377
633	0.3268855226
634	0.3266995798
635	0.326577108
636	0.3263072106
637	0.3262210564
638	0.3261327277
639	0.3259614423
640	0.3258979805
641	0.3258374189
642	0.3257399907
643	0.3256037966
644	0.3252850837
645	0.3251980599
646	0.3250211918
647	0.3249698162
648	0.3248570308
649	0.3247885081
650	0.3246737449
651	0.3246186935
652	0.3245487507
653	0.3243855599
654	0.3243137951
655	0.3242464427
656	0.3241554337
657	0.3240558138
658	0.3239768447
659	0.3238686065
660	0.3238073232
661	0.3237695882
662	0.3237229482
663	0.3236049988
664	0.3235046014
665	0.3234421413
666	0.3233840519
667	0.323271975
668	0.323195885
669	0.3231036401
670	0.3230007753
671	0.3228180134
672	0.3227291539
673	0.3226572388
674	0.3225725956
675	0.3223114523
676	0.3222609839
677	0.3222009702
678	0.3221291592
679	0.3220985426
680	0.3220506534
681	0.3219681262
682	0.321915874
683	0.3218330035
684	0.32172582
685	0.321389699
686	0.3212983686
687	0.3212150661
688	0.3211727779
689	0.3210291868
690	0.3209860983
691	0.3208904818
692	0.3207427411
693	0.3206478253
694	0.3205623372
695	0.3204520736
696	0.3203769119
697	0.3202883267
698	0.3202233775
699	0.3201619382
700	0.3200441539
701	0.3199572685
702	0.3199199788
703	0.3198772563
704	0.3196570619
705	0.319483396
706	0.3194024697
707	0.3193611646
708	0.3192787779
709	0.3192500404
710	0.3191596348
711	0.3190596702
712	0.318985794
713	0.3187801188
714	0.3186858814
715	0.3186132475
716	0.3185620404
717	0.3184725851
718	0.3184424612
719	0.3180900283
720	0.3179452875
721	0.3177013017
722	0.3176373756
723	0.3175383956
724	0.3174683635
725	0.317376239
726	0.3172970272
727	0.3172612083
728	0.3171794212
729	0.3171232317
730	0.3170770754
731	0.3170093183
732	0.3169439106
733	0.3168900069
734	0.3168598332
735	0.3168184986
736	0.3167610146
737	0.3167383483
738	0.3166934666
739	0.3166384779
740	0.316586926
741	0.3164926215
742	0.3164489218
743	0.3163755888
744	0.3163416254
745	0.3163184297
746	0.3162581459
747	0.3161934488
748	0.3161249175
749	0.3160680408
750	0.315976902
751	0.3159079673
752	0.3156260214
753	0.3155580736
754	0.3154918616
755	0.3154410564
756	0.3153984057
757	0.3153560716
758	0.3152216116
759	0.3151262878
760	0.3150682118
761	0.3148532271
762	0.3148342946
763	0.3147340081
764	0.3146603513
765	0.3145940446
766	0.3144864992
767	0.3144326833
768	0.3144036733
769	0.3143080755
770	0.3142546068
771	0.3141989734
772	0.3141119936
773	0.3140210301
774	0.313929096
775	0.3138127193
776	0.3137783272
777	0.3136876292
778	0.3136447127
779	0.3135755027
780	0.3135378441
781	0.3135193089
782	0.3134553433
783	0.3133665536
784	0.3132801668
785	0.3132216954
786	0.3131359182
787	0.3128753162
788	0.312644115
789	0.312613277
790	0.3125595901
791	0.3125003525
792	0.3124694847
793	0.3124233438
794	0.3123904325
795	0.3123342838
796	0.3122675297
797	0.3122160083
798	0.3121816166
799	0.3120946283
800	0.3120385368
801	0.3119759037
802	0.3119213753
803	0.311880468
804	0.3118193911
805	0.3117257297
806	0.3113838809
807	0.3113591146
808	0.31132706
809	0.3112460863
810	0.3111873759
811	0.3111496904
812	0.3110944653
813	0.3109005759
814	0.31084812
815	0.3107885909
816	0.3107448592
817	0.3106917797
818	0.3106251983
819	0.3106007609
820	0.3104935839
821	0.310421143
822	0.3102395691
823	0.3102075573
824	0.3101448478
825	0.3099084647
826	0.3097655522
827	0.3096786959
828	0.3096512996
829	0.3096212759
830	0.3095395555
831	0.3094965379
832	0.3094343428
833	0.309405959
834	0.3093476094
835	0.3093145748
836	0.309267773
837	0.3092343894
838	0.3091749995
839	0.3090969989
840	0.3090575634
841	0.3088995827
842	0.3088503179
843	0.3088033108
844	0.3087646674
845	0.3087232622
846	0.3086340047
847	0.3083000619
848	0.3082215901
849	0.3081702964
850	0.3081451557
851	0.3080926835
852	0.3079110364
853	0.3078499565
854	0.3077952185
855	0.3077492709
856	0.3076751023
857	0.3076517578
858	0.3076094109
859	0.3075446569
860	0.3074744734
861	0.3074136637
862	0.3073861007
863	0.3072499274
864	0.307152367
865	0.3071301263
866	0.3070006436
867	0.3068788481
868	0.3067760369
869	0.3067261434
870	0.3066912828
871	0.3066584779
872	0.3066144881
873	0.3065477734
874	0.3065298237
875	0.3064662337
876	0.3064020176
877	0.3063592659
878	0.3062930844
879	0.3062363656
880	0.3061755339
881	0.306131492
882	0.3061019952
883	0.3059832957
884	0.3059225775
885	0.3058630964
886	0.3058188579
887	0.3057909172
888	0.3057645877
889	0.305716312
890	0.3054403869
891	0.3053816254
892	0.3053586485
893	0.3053051478
894	0.3052192655
895	0.3051649293
896	0.3049740128
897	0.3049050644
898	0.3048144022
899	0.3047384909
900	0.30465964
901	0.3045994747
902	0.3045223933
903	0.3045029127
904	0.3044263006
905	0.3043697659
906	0.3043175795
907	0.3042567452
908	0.3042118802
909	0.3041868814
910	0.304067671
911	0.3040215564
912	0.3040101263
913	0.3039436104
914	0.3038700519
915	0.303828792
916	0.3037708317
917	0.3037282601
918	0.3036861035
919	0.3036603595
920	0.3036084324
921	0.303568
922	0.3035162508
923	0.30317105
924	0.3031256171
925	0.3030824019
926	0.3030174187
927	0.3029372423
928	0.3028982868
929	0.3028764156
930	0.3027804058
931	0.302729346
932	0.3026783368
933	0.3026219513
934	0.302602317
935	0.3025797978
936	0.3025214189
937	0.3024582443
938	0.3023447823
939	0.3022934561
940	0.302138781
941	0.3020858008
942	0.3020381773
943	0.3020203484
944	0.3019776963
945	0.3019598634
946	0.301883897
947	0.3018526708
948	0.3017730135
949	0.3016820441
950	0.3016307647
951	0.3015908538
952	0.3015532153
953	0.3015091646
954	0.3014344678
955	0.3013598065
956	0.3012843837
957	0.3011761825
958	0.3011117329
959	0.3010574233
960	0.3010300854
961	0.3010156613
962	0.3009909283
963	0.3009045331
964	0.3008316589
965	0.3007529672
966	0.3007104399
967	0.3006641548
968	0.3006146725
969	0.3005777893
970	0.3005070273
971	0.300464217
972	0.3003789117
973	0.3002771778
974	0.3000362275
975	0.3000136599
976	0.2999239258
977	0.299840739
978	0.2997988368
979	0.2997768869
980	0.2997086702
981	0.2996728414
982	0.2996194047
983	0.2995895889
984	0.2995253792
985	0.2995052443
986	0.2994668121
987	0.2994165888
988	0.2993708113
989	0.2993265653
990	0.2992994406
991	0.299236381
992	0.2991755453
993	0.2991327058
994	0.2989900015
995	0.2989750805
996	0.2989435727
997	0.2988785866
998	0.2987991138
999	0.2987512435
